# title = Flux tower observations from AU-SurreyHills (after qc)
# summary = Quality controlled flux tower observations for Surrey Hills, Melbourne, Australia. Developed for use in the Urban-PLUMBER model evaluation project. Attribute any use to "Harmonized, gap-filled dataset from 20 urban flux tower sites"
# sitename = AU-SurreyHills
# long_sitename = Surrey Hills, Melbourne, Australia
# version = v1
# keywords = urban, flux tower, eddy covariance, observations
# conventions = ALMA, CF, ACDD-1.3
# featureType = timeSeries
# license = CC-BY-4.0: https://creativecommons.org/licenses/by/4.0/
# time_coverage_start = 2004-02-23 05:00:00
# time_coverage_end = 2004-07-19 23:30:00
# time_shown_in = UTC
# local_utc_offset_hours = 10.0
# timestep_interval_seconds = 1800.0
# timestep_number_analysis = 7094
# project = Urban-PLUMBER multi-site model evaluation project for urban areas
# references = Data from "Harmonized gap-filled dataset from 20 urban flux tower sites": https://doi.org/10.5281/zenodo.5517550
# project_contact = Mathew Lipson (m.lipson@unsw.edu.au), Sue Grimmond (c.s.grimmond@reading.ac.uk), Martin Best (martin.best@metoffice.gov.uk)
# observations_contact = Andrew Coutts (andrew.coutts@monash.edu), Nigel Tapper (nigel.tapper@monash.edu)
# observations_reference = Coutts, Beringer and Tapper (2007a): https://doi.org/10.1175/JAM2462.1; Coutts, Beringer and Tapper (2007b) https://doi.org/10.1016/j.atmosenv.2006.08.030
# date_created = 2022-09-22 14:41:10
# source = https://github.com/matlipson/urban-plumber_pipeline
# comment = Gap-filled from nearby AU-Preston tower where available
# history = v0.9 (2021-09-08): beta issue; v1 (2022-09-15): with publication in ESSD
# see sitedata csv for site characteristics
# units = SWdown: W/m2, LWdown: W/m2, Tair: K, Qair: kg/kg, PSurf: Pa, Rainf: kg/m2/s, Snowf: kg/m2/s, Wind_N: m/s, Wind_E: m/s, SWup: W/m2, LWup: W/m2, Qle: W/m2, Qh: W/m2, Qtau: N/m2, SWdown_qc: -, LWdown_qc: -, Tair_qc: -, Qair_qc: -, PSurf_qc: -, Rainf_qc: -, Snowf_qc: -, Wind_N_qc: -, Wind_E_qc: -, SWup_qc: -, LWup_qc: -, Qle_qc: -, Qh_qc: -, Qtau_qc: -
# quality control (qc) flags: 0:observed, 1:gapfilled_from_obs, 2:gapfilled_derived_from_era5, 3:missing
# 
#     Date     Time     SWdown     LWdown       Tair         Qair      PSurf        Rainf Snowf     Wind_N     Wind_E       SWup       LWup        Qle         Qh       Qtau  SWdown_qc  LWdown_qc    Tair_qc    Qair_qc   PSurf_qc   Rainf_qc   Snowf_qc  Wind_N_qc  Wind_E_qc    SWup_qc    LWup_qc     Qle_qc      Qh_qc    Qtau_qc
2004-02-23 05:00:00    843.632    295.192    291.793   0.00599945   100169.0   0.00000000   NaN      4.639     -0.025    136.554    457.456        NaN        NaN      0.621          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 05:30:00    592.138    289.814    291.657   0.00627557   100173.0   0.00000000   NaN      5.559      0.171    122.529    450.927        NaN        NaN      0.596          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 06:00:00    649.087    297.323    291.887   0.00614164   100178.0   0.00000000   NaN      4.800      0.292    102.628    446.296        NaN        NaN      0.612          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 06:30:00    610.429    305.219    291.469   0.00615805   100184.0   0.00000000   NaN      5.814     -0.927     96.659    437.238        NaN        NaN      0.848          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 07:00:00    533.862    310.632    291.346   0.00618390   100210.0   0.00000000   NaN      5.874     -1.850     85.371    433.485        NaN        NaN      0.461          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 07:30:00    389.562    294.663    290.875   0.00613614   100235.0   0.00000000   NaN      5.858     -1.383     62.848    420.961        NaN        NaN      0.655          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 08:00:00    274.129    293.225    290.284   0.00604833   100261.0   0.00000000   NaN      5.951     -3.494     44.215    410.234        NaN        NaN      0.210          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 08:30:00    136.481    278.563    289.876   0.00600328   100282.0   0.00000000   NaN      5.533     -2.882     22.687    398.478        NaN        NaN      0.428          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 09:00:00     40.816    273.071    289.384   0.00586609   100328.0   0.00000000   NaN      4.798     -2.509      7.081    389.868        NaN        NaN      0.185          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 09:30:00      1.108    271.226    288.877   0.00584112   100381.0   0.00000000   NaN      3.725     -1.920      1.259    384.133        NaN        NaN      0.173          0          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 10:00:00        NaN    270.061    288.449   0.00578939   100419.0   0.00000000   NaN      3.957     -1.991      0.646    380.374        NaN        NaN      0.085          3          0          0          0          0          0          3          0          0          0          0          3          3          0
2004-02-23 10:30:00        NaN    268.435    288.122   0.00574518   100443.0   0.00000000   NaN      3.390     -1.539        NaN    377.223        NaN        NaN      0.109          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 11:00:00        NaN    267.561    287.665   0.00572995   100462.0   0.00000000   NaN      3.838     -1.891        NaN    374.585        NaN        NaN      0.162          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 11:30:00        NaN    264.673    287.232   0.00594710   100462.0   0.00000000   NaN      4.441     -1.793        NaN    372.051        NaN        NaN      0.121          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 12:00:00        NaN    260.413    286.799   0.00613667   100446.0   0.00000000   NaN      5.279     -1.940        NaN    369.376        NaN        NaN      0.175          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 12:30:00        NaN    257.975    286.424   0.00614009   100453.0   0.00000000   NaN      4.352     -2.315        NaN    366.944        NaN        NaN      0.193          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 13:00:00        NaN    257.392    286.028   0.00614682   100465.0   0.00000000   NaN      3.465     -2.143        NaN    364.512        NaN        NaN      0.175          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 13:30:00        NaN    257.281    285.726   0.00606290   100471.0   0.00000000   NaN      3.192     -3.001        NaN    362.799        NaN        NaN      0.184          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 14:00:00        NaN    256.510    285.319   0.00596448   100482.0   0.00000000   NaN      2.726     -2.694        NaN    360.559        NaN        NaN      0.100          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 14:30:00        NaN    256.237    285.167   0.00592302   100492.0   0.00000000   NaN      3.263     -2.178        NaN    359.369        NaN        NaN      0.140          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 15:00:00        NaN    256.296    285.139   0.00579351   100497.0   0.00000000   NaN      3.628     -1.910        NaN    358.485        NaN        NaN      0.092          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 15:30:00        NaN    255.981    284.975   0.00574053   100471.0   0.00000000   NaN      4.165     -1.986        NaN    357.563        NaN        NaN      0.117          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 16:00:00        NaN    255.327    284.780   0.00566338   100455.0   0.00000000   NaN      4.186     -1.751        NaN    356.305        NaN        NaN      0.065          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 16:30:00        NaN    253.703    284.499   0.00564634   100427.0   0.00000000   NaN      4.353     -1.604        NaN    354.941        NaN        NaN      0.117          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 17:00:00        NaN    253.232    284.338   0.00565428   100424.0   0.00000000   NaN      4.620     -1.836        NaN    354.130        NaN        NaN      0.154          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 17:30:00        NaN    251.658    283.971   0.00563170   100415.0   0.00000000   NaN      4.611     -2.201        NaN    352.628        NaN        NaN      0.129          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 18:00:00        NaN    250.945    283.688   0.00559643   100421.0   0.00000000   NaN      4.724     -1.835        NaN    351.088        NaN        NaN      0.135          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 18:30:00        NaN    249.226    283.440   0.00557010   100421.0   0.00000000   NaN      5.723     -1.798        NaN    349.865        NaN        NaN      0.142          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 19:00:00        NaN    247.841    283.286   0.00554139   100436.0   0.00000000   NaN      4.538     -1.559        NaN    348.636        NaN        NaN      0.136          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 19:30:00        NaN    250.263    283.232   0.00552878   100430.0   0.00000000   NaN      4.255     -2.579        NaN    348.485        NaN        NaN      0.172          3          0          0          0          0          0          3          0          0          3          0          3          3          0
2004-02-23 20:00:00        NaN    252.737    283.460   0.00552483   100455.0   0.00000000   NaN      4.462     -2.770      0.530    349.257        NaN        NaN      0.140          3          0          0          0          0          0          3          0          0          0          0          3          3          0
