val_loss,val_mse,epoch,step,train_loss,train_mse,test_loss,test_mse
0.014983260072767735,0.02996652014553547,0,273,,,,
,,0,273,0.021897846832871437,0.043795693665742874,,
0.013608354143798351,0.027216708287596703,1,547,,,,
,,1,547,0.012945812195539474,0.02589162439107895,,
0.013123195618391037,0.026246391236782074,2,821,,,,
,,2,821,0.01193701010197401,0.02387402020394802,,
0.012640095315873623,0.025280190631747246,3,1095,,,,
,,3,1095,0.011197404004633427,0.022394808009266853,,
0.011349475011229515,0.02269895002245903,4,1369,,,,
,,4,1369,0.010110910050570965,0.02022182010114193,,
0.010437222197651863,0.020874444395303726,5,1643,,,,
,,5,1643,0.009489811025559902,0.018979622051119804,,
0.009638425894081593,0.019276851788163185,6,1917,,,,
,,6,1917,0.009278306737542152,0.018556613475084305,,
0.009044337086379528,0.018088674172759056,7,2191,,,,
,,7,2191,0.009030265733599663,0.018060531467199326,,
0.008881112560629845,0.01776222512125969,8,2465,,,,
,,8,2465,0.008784972131252289,0.017569944262504578,,
0.00877306517213583,0.01754613034427166,9,2739,,,,
,,9,2739,0.008661261759698391,0.017322523519396782,,
0.008679564110934734,0.01735912822186947,10,3013,,,,
,,10,3013,0.008593933656811714,0.01718786731362343,,
0.0086051682010293,0.0172103364020586,11,3287,,,,
,,11,3287,0.008545667864382267,0.017091335728764534,,
0.008544922806322575,0.01708984561264515,12,3561,,,,
,,12,3561,0.008508712984621525,0.01701742596924305,,
0.008497203700244427,0.016994407400488853,13,3835,,,,
,,13,3835,0.008478033356368542,0.016956066712737083,,
0.008460461162030697,0.016920922324061394,14,4109,,,,
,,14,4109,0.0084513109177351,0.0169026218354702,,
0.008433273993432522,0.016866547986865044,15,4383,,,,
,,15,4383,0.008427495136857033,0.016854990273714066,,
0.008414346724748611,0.016828693449497223,16,4657,,,,
,,16,4657,0.008405997417867184,0.016811994835734367,,
0.008402623236179352,0.016805246472358704,17,4931,,,,
,,17,4931,0.008386463858187199,0.016772927716374397,,
0.008397337049245834,0.01679467409849167,18,5205,,,,
,,18,5205,0.008368716575205326,0.016737433150410652,,
0.008397659286856651,0.016795318573713303,19,5479,,,,
,,19,5479,0.008352677337825298,0.016705354675650597,,
0.008402221836149693,0.016804443672299385,20,5753,,,,
,,20,5753,0.008338176645338535,0.01667635329067707,,
0.008409181609749794,0.016818363219499588,21,6027,,,,
,,21,6027,0.008324865251779556,0.016649730503559113,,
0.008416908793151379,0.016833817586302757,22,6301,,,,
,,22,6301,0.008312375284731388,0.016624750569462776,,
0.008424313738942146,0.016848627477884293,23,6575,,,,
,,23,6575,0.008300529792904854,0.016601059585809708,,
0.008430726826190948,0.016861453652381897,24,6849,,,,
,,24,6849,0.008289309218525887,0.016578618437051773,,
0.008435740135610104,0.016871480271220207,25,7123,,,,
,,25,7123,0.008278745226562023,0.016557490453124046,,
0.008439158089458942,0.016878316178917885,26,7397,,,,
,,26,7397,0.008268863894045353,0.016537727788090706,,
0.008441004902124405,0.01688200980424881,27,7671,,,,
,,27,7671,0.008259696885943413,0.016519393771886826,,
0.008441460318863392,0.016882920637726784,28,7945,,,,
,,28,7945,0.008251226507127285,0.01650245301425457,,
0.008440784178674221,0.016881568357348442,29,8219,,,,
,,29,8219,0.008243451826274395,0.01648690365254879,,
0.008439257740974426,0.016878515481948853,30,8493,,,,
,,30,8493,0.008236349560320377,0.016472699120640755,,
0.008437138050794601,0.016874276101589203,31,8767,,,,
,,31,8767,0.00822987500578165,0.0164597500115633,,
0.008434632793068886,0.01686926558613777,32,9041,,,,
,,32,9041,0.008223988115787506,0.016447976231575012,,
0.008431883528828621,0.016863767057657242,33,9315,,,,
,,33,9315,0.008218631148338318,0.016437262296676636,,
0.008429013192653656,0.016858026385307312,34,9589,,,,
,,34,9589,0.008213759399950504,0.01642751879990101,,
0.008426081389188766,0.016852162778377533,35,9863,,,,
,,35,9863,0.008209319785237312,0.016418639570474625,,
0.008423133753240108,0.016846267506480217,36,10137,,,,
,,36,10137,0.008205266669392586,0.01641053333878517,,
0.008420205675065517,0.016840411350131035,37,10411,,,,
,,37,10411,0.008201554417610168,0.016403108835220337,,
0.008417311124503613,0.016834622249007225,38,10685,,,,
,,38,10685,0.008198151364922523,0.016396302729845047,,
0.008414451964199543,0.016828903928399086,39,10959,,,,
,,39,10959,0.008195022121071815,0.01639004424214363,,
0.008411639370024204,0.01682327874004841,40,11233,,,,
,,40,11233,0.008192130364477634,0.01638426072895527,,
0.008408874273300171,0.016817748546600342,41,11507,,,,
,,41,11507,0.008189464919269085,0.01637892983853817,,
0.008406161330640316,0.016812322661280632,42,11781,,,,
,,42,11781,0.008186991326510906,0.016373982653021812,,
0.008403489366173744,0.01680697873234749,43,12055,,,,
,,43,12055,0.008184701204299927,0.016369402408599854,,
0.008400868624448776,0.016801737248897552,44,12329,,,,
,,44,12329,0.008182568475604057,0.016365136951208115,,
0.008398298174142838,0.016796596348285675,45,12603,,,,
,,45,12603,0.00818057544529438,0.01636115089058876,,
0.008395771495997906,0.01679154299199581,46,12877,,,,
,,46,12877,0.008178717456758022,0.016357434913516045,,
0.00839329231530428,0.01678658463060856,47,13151,,,,
,,47,13151,0.008176980540156364,0.01635396108031273,,
0.00839086715131998,0.01678173430263996,48,13425,,,,
,,48,13425,0.008175351656973362,0.016350703313946724,,
0.008388486690819263,0.016776973381638527,49,13699,,,,
,,49,13699,0.008173815906047821,0.016347631812095642,,
0.008386153727769852,0.016772307455539703,50,13973,,,,
,,50,13973,0.00817237701267004,0.01634475402534008,,
0.008383870124816895,0.01676774024963379,51,14247,,,,
,,51,14247,0.008171026594936848,0.016342053189873695,,
0.00838163960725069,0.01676327921450138,52,14521,,,,
,,52,14521,0.008169746957719326,0.016339493915438652,,
0.008379453793168068,0.016758907586336136,53,14795,,,,
,,53,14795,0.008168539963662624,0.01633707992732525,,
0.0083773173391819,0.0167546346783638,54,15069,,,,
,,54,15069,0.008167396299540997,0.016334792599081993,,
0.00837523303925991,0.01675046607851982,55,15343,,,,
,,55,15343,0.008166316896677017,0.016332633793354034,,
0.0083732008934021,0.0167464017868042,56,15617,,,,
,,56,15617,0.008165289647877216,0.016330579295754433,,
0.00837121531367302,0.01674243062734604,57,15891,,,,
,,57,15891,0.008164315484464169,0.016328630968928337,,
0.008369280025362968,0.016738560050725937,58,16165,,,,
,,58,16165,0.008163392543792725,0.01632678508758545,,
0.008367395959794521,0.016734791919589043,59,16439,,,,
,,59,16439,0.00816250964999199,0.01632501929998398,,
0.008365564979612827,0.016731129959225655,60,16713,,,,
,,60,16713,0.008161671459674835,0.01632334291934967,,
0.008363781496882439,0.016727562993764877,61,16987,,,,
,,61,16987,0.008160874247550964,0.01632174849510193,,
0.00836204830557108,0.01672409661114216,62,17261,,,,
,,62,17261,0.008160115219652653,0.016320230439305305,,
0.008360369130969048,0.016720738261938095,63,17535,,,,
,,63,17535,0.008159381337463856,0.01631876267492771,,
0.008358737453818321,0.016717474907636642,64,17809,,,,
,,64,17809,0.008158687502145767,0.016317375004291534,,
0.008357156999409199,0.016714313998818398,65,18083,,,,
,,65,18083,0.008158029057085514,0.016316058114171028,,
0.008355624042451382,0.016711248084902763,66,18357,,,,
,,66,18357,0.008157391101121902,0.016314782202243805,,
0.008354144170880318,0.016708288341760635,67,18631,,,,
,,67,18631,0.008156783878803253,0.016313567757606506,,
0.008352714590728283,0.016705429181456566,68,18905,,,,
,,68,18905,0.008156203664839268,0.016312407329678535,,
0.008351333439350128,0.016702666878700256,69,19179,,,,
,,69,19179,0.008155643939971924,0.016311287879943848,,
0.008350007236003876,0.01670001447200775,70,19453,,,,
,,70,19453,0.008155114948749542,0.016310229897499084,,
0.00834872480481863,0.01669744960963726,71,19727,,,,
,,71,19727,0.008154604583978653,0.016309209167957306,,
0.00834749173372984,0.01669498346745968,72,20001,,,,
,,72,20001,0.008154112845659256,0.016308225691318512,,
0.008346311748027802,0.016692623496055603,73,20275,,,,
,,73,20275,0.008153639733791351,0.016307279467582703,,
0.008345181122422218,0.016690362244844437,74,20549,,,,
,,74,20549,0.008153187111020088,0.016306374222040176,,
0.008344095200300217,0.016688190400600433,75,20823,,,,
,,75,20823,0.008152755908668041,0.016305511817336082,,
0.008343060500919819,0.016686121001839638,76,21097,,,,
,,76,21097,0.008152342401444912,0.016304684802889824,,
0.008342073298990726,0.016684146597981453,77,21371,,,,
,,77,21371,0.008151941001415253,0.016303882002830505,,
0.00834113359451294,0.01668226718902588,78,21645,,,,
,,78,21645,0.008151563815772533,0.016303127631545067,,
0.008340244181454182,0.016680488362908363,79,21919,,,,
,,79,21919,0.008151191286742687,0.016302382573485374,,
0.008339395746588707,0.016678791493177414,80,22193,,,,
,,80,22193,0.008150841109454632,0.016301682218909264,,
0.008338598534464836,0.016677197068929672,81,22467,,,,
,,81,22467,0.00815050583332777,0.01630101166665554,,
0.008337846957147121,0.016675693914294243,82,22741,,,,
,,82,22741,0.00815018080174923,0.01630036160349846,,
0.008337140083312988,0.016674280166625977,83,23015,,,,
,,83,23015,0.008149866946041584,0.016299733892083168,,
0.008336478844285011,0.016672957688570023,84,23289,,,,
,,84,23289,0.008149567991495132,0.016299135982990265,,
0.008335864171385765,0.01667172834277153,85,23563,,,,
,,85,23563,0.008149287663400173,0.016298575326800346,,
0.008335292339324951,0.016670584678649902,86,23837,,,,
,,86,23837,0.008149011991918087,0.016298023983836174,,
0.008334762416779995,0.01666952483355999,87,24111,,,,
,,87,24111,0.00814875029027462,0.01629750058054924,,
0.00833427906036377,0.01666855812072754,88,24385,,,,
,,88,24385,0.008148496970534325,0.01629699394106865,,
0.008333839476108551,0.016667678952217102,89,24659,,,,
,,89,24659,0.008148254826664925,0.01629650965332985,,
0.008333439007401466,0.016666878014802933,90,24933,,,,
,,90,24933,0.008148024789988995,0.01629604957997799,,
0.008333082310855389,0.016666164621710777,91,25207,,,,
,,91,25207,0.008147806860506535,0.01629561372101307,,
0.008332766592502594,0.016665533185005188,92,25481,,,,
,,92,25481,0.008147596381604671,0.016295192763209343,,
0.008332492783665657,0.016664985567331314,93,25755,,,,
,,93,25755,0.008147398009896278,0.016294796019792557,,
0.008332259953022003,0.016664519906044006,94,26029,,,,
,,94,26029,0.008147205226123333,0.016294410452246666,,
0.00833206344395876,0.01666412688791752,95,26303,,,,
,,95,26303,0.008147020824253559,0.016294041648507118,,
0.008331909775733948,0.016663819551467896,96,26577,,,,
,,96,26577,0.008146855048835278,0.016293710097670555,,
0.008331790566444397,0.016663581132888794,97,26851,,,,
,,97,26851,0.008146688342094421,0.016293376684188843,,
0.008331714197993279,0.016663428395986557,98,27125,,,,
,,98,27125,0.008146531879901886,0.016293063759803772,,
0.00833167415112257,0.01666334830224514,99,27399,,,,
,,99,27399,0.008146382868289948,0.016292765736579895,,
,,100,27400,,,0.008790599182248116,0.01758119836449623
